Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
09/18/2024 23:00,17188.170144,1958.620251,6829.592529,1804.211291,18646.752888,4922.230662,11106.067744,1577.541524,64033.187032
09/18/2024 24:00,16110.511011,1787.691325,6828.013758,1732.576164,17220.290931,4593.094401,10241.736149,1487.467118,60001.380856
09/19/2022 01:00,13391.807243,1619.685354,4935.804504,1098.690195,14377.477685,4119.484235,8013.053477,1223.361219,48779.363914
09/19/2022 02:00,12795.368075,1530.441743,4910.475918,1043.941475,13562.783878,3838.047088,7465.894163,1182.645353,46329.597693
09/19/2022 03:00,12412.285245,1468.993305,4875.831498,1005.715667,12909.3738,3740.445103,7109.440441,1148.608185,44670.693243
09/19/2022 04:00,12283.026409,1432.357477,4834.978343,975.925499,12563.211385,3662.560185,6960.270976,1117.299687,43829.629962
09/19/2022 05:00,12308.977075,1416.657821,4803.884656,961.929314,12526.856013,3682.1785,6992.136799,1103.89005,43796.510228
09/19/2022 06:00,12663.755858,1457.843849,4806.22725,976.97209,12932.650916,3741.859554,7197.995383,1125.891284,44903.196183
09/19/2022 07:00,13104.272563,1545.341989,4808.980429,1027.555418,13769.485651,3978.886775,7627.22054,1175.935657,47037.679021
09/19/2022 08:00,13159.158492,1566.581439,4813.93579,1052.657499,14035.324201,4023.936709,7789.848176,1185.477144,47626.919452
09/19/2022 09:00,13717.612951,1664.405054,4882.055643,1097.927907,14699.635506,4097.222334,7967.279728,1211.980656,49338.11978
