Hour Ending,Target_Price,ERCOT.LOAD,ERCOT.WIND.GEN,"Wind Output, % of Load","Wind Output, % of Installed",Wind 1-hr MW change,Wind 1-hr % change,WEST_Load
2022-04-22 06:00:00,-0.29,40308.53782877604,23123.29943088108,57.36576089439167,64.85653221574924,-16.540185004338127,-0.0714792551672802,1090.687766
2022-04-22 07:00:00,-1.47,42917.35856987848,23268.290342881945,54.21650147689374,65.26320461919597,144.99091200086696,0.6270338384635202,1156.102468
2022-04-22 08:00:00,-2.84,43576.11674804687,23562.47645887587,54.0719968121803,66.08834167917391,294.18611599392534,1.2643220093044802,1170.590866
2022-04-22 09:00:00,-6.91,44692.01883680555,23550.27374565972,52.694584757189766,66.05411534978745,-12.202713216149276,-0.0517887550463846,1177.356424
2022-04-22 10:00:00,-6.75,46466.41046440973,23510.15834635417,50.59602863957274,65.94159915393983,-40.11539930555227,-0.1703394182963392,1215.238596
2022-04-22 11:00:00,-6.24,48085.84472005208,23569.39841471354,49.01525293343752,66.10775647130266,59.24006835937325,0.2519764753883926,1245.980703
2022-04-22 12:00:00,-4.27,49635.413739149306,23906.9500499132,48.1651068238339,67.05452570586822,337.5516351996521,1.432160589168583,1270.401811
2022-04-22 13:00:00,-2.59,51279.25329318576,23941.28278266059,46.68804876267967,67.15082260303646,34.33273274739622,0.1436098401331661,1299.684253
2022-04-22 14:00:00,-2.62,52894.49230143229,23944.40921603733,45.2682466060629,67.15959166420028,3.126433376735804,0.0130587546420032,1354.783508
2022-04-22 15:00:00,-3.88,53836.812111545136,23555.44794704861,43.75342265482547,66.06862801741399,-388.9612689887144,-1.6244346038331092,1405.114333
2022-04-22 16:00:00,-5.29,54919.25060546875,23206.363338216142,42.255426070772536,65.08951094779162,-349.0846088324652,-1.48196973208571,1453.129108
2022-04-22 17:00:00,-2.28,55951.72577799479,23146.516656358508,41.36872694186277,64.92165219296695,-59.84668185763803,-0.2578891013012916,1499.559545
2022-04-22 18:00:00,-0.28,56102.64414496528,23265.70898871528,41.469897441194256,65.25596440331887,119.19233235676802,0.5149471694870557,1521.30793
2022-04-22 19:00:00,12.92,54276.660361328126,23351.36677734375,43.022851114807146,65.49621848748703,85.65778862847219,0.368171838949844,1495.263098
